"id_OC"	"idSucursal"	"idProveedor"	"TipoDocumento"	"OrdenCompra"	"tipoCompra"	"idHES"	"HES"	"idDetRecpcion"	"posicionCompra"	"cantidad"	"costoUnitario"	"Subtotal"
"3186"	"1"	"100033"	"WE"	"COM-BDG-003186"	"1"	"3157"	"HES-BDG-003157"	"9151"	"13151"	"100"	"2150"	"215000"
"3185"	"1"	"100144"	"WE"	"COM-BDG-003185"	"1"	"3156"	"HES-BDG-003156"	"9150"	"13149"	"3000"	"174.5"	"523500"
"3184"	"1"	"100011"	"WE"	"COM-BDG-003184"	"1"	"3154"	"HES-PRG-003154"	"9146"	"13145"	"300"	"45.78"	"13734"
"3184"	"1"	"100011"	"WE"	"COM-BDG-003184"	"1"	"3155"	"HES-PRG-003155"	"9147"	"13145"	"200"	"45.78"	"9156"
"3184"	"1"	"100011"	"WE"	"COM-BDG-003184"	"1"	"3155"	"HES-PRG-003155"	"9148"	"13146"	"500"	"30"	"15000"
"3184"	"1"	"100011"	"WE"	"COM-BDG-003184"	"1"	"3155"	"HES-PRG-003155"	"9149"	"13147"	"500"	"185"	"92500"
"3183"	"1"	"100095"	"WE"	"COM-BDG-003183"	"1"	"3153"	"HES-BDG-003153"	"9143"	"13142"	"50"	"275"	"13750"
"3183"	"1"	"100095"	"WE"	"COM-BDG-003183"	"1"	"3153"	"HES-BDG-003153"	"9144"	"13143"	"50"	"185"	"9250"
"3183"	"1"	"100095"	"WE"	"COM-BDG-003183"	"1"	"3153"	"HES-BDG-003153"	"9145"	"13144"	"1150"	"140"	"161000"
"3182"	"1"	"100095"	"WE"	"COM-BDG-003182"	"1"	"3152"	"HES-BDG-003152"	"9140"	"13139"	"50"	"185"	"9250"
"3182"	"1"	"100095"	"WE"	"COM-BDG-003182"	"1"	"3152"	"HES-BDG-003152"	"9141"	"13140"	"1100"	"140"	"154000"
"3182"	"1"	"100095"	"WE"	"COM-BDG-003182"	"1"	"3152"	"HES-BDG-003152"	"9142"	"13141"	"100"	"200"	"20000"
"3181"	"1"	"100095"	"WE"	"COM-BDG-003181"	"1"	"3150"	"HES-BDG-003150"	"9134"	"13134"	"25"	"275"	"6875"
"3181"	"1"	"100095"	"WE"	"COM-BDG-003181"	"1"	"3150"	"HES-BDG-003150"	"9135"	"13137"	"25"	"185"	"4625"
